name;label;description
t_hs;T-GDC;Viene visualizzata la temperatura corrente (di mandata) del generatore di calore.
t_hs_set;T-GDC nom;Viene visualizzata la temperatura nominale corrente del generatore di calore in °C con un valore decimale.
water_pressure;Pressione Acqua;Viene visualizzata la pressione idrica corrente espressa in bar.
t_ext;T-Esterna;Viene visualizzata la temperatura esterna corrente in °C con un valore decimale.
t_dhw;T-Ac;Viene visualizzata la temperatura corrente del bollitore di acqua calda in°C con un valore decimale. Se non fosse attivata alcuna funzione acqua calda, viene visualizzato "- - -".
t_dhw_set;T-Accumulatore; Viene visualizzata la temperatura nominale corrente per l'approntamento di acqua calda in °C con un valore decimale. Se non fosse attivata alcuna funzione acqua calda, viene visualizzato "- - -". Il valore nominale corrente qui è sempre il valore massimo di tutte le richieste rilevanti per questo circuito dell'acqua calda.
t_return;T-ritorno; Viene visualizzata la temperatura di ritorno corrente del generatore di calore in °C con un valore decimale. Se non è collegato il relativo sensore al generatore di calore, viene visualizzato "- - -"
flow_rate;Flusso volumetrico;Viene visualizzato il valore filtrato del flusso di volume corrente.
t_hc;Temp. Circ. Riscald;Viene visualizzata la temperatura del circuito di riscaldamento diretto in °C con un valore decimale.
t_hc_set;Temp. Nomin. Circ. Risc.;Viene visualizzata la temperatura nominale (di mandata) del circuito di riscaldamento diretto in °C con un valore decimale.
status_pump;Status pompa;Stato attuale della pompa di circolazione per riscaldamento interna del ROTEX HPSU compact.
runtime_comp;Tempo oper. Comp;Viene visualizzato il tempo di funzionamento del compressore espresso in ore.
runtime_pump;Tempo oper. Pompa;Viene visualizzato il tempo di funzionamento della pompa.
posmix;Posizione Miscelatore;Viene visualizzata la posizione corrente del miscelatore 3UV1 in %.
qboh;Qboh;Viene visualizzata la quantità di calore del riscaldamento di riserva per l'approntamento di acqua calda in kWh.
qchhp;Qchhp;Viene visualizzata la quantità di calore del riscaldamento di riserva per la modalità di riscaldamento in kWh.
qsc;Qsc;Viene visualizzata la quantità di calore della pompa di calore per la modalità di raffrescamento in kWh.
qch;Qch;Viene visualizzata la quantità di calore della pompa di calore per la modalità di riscaldamento in kWh.
qwp;QWP;Viene visualizzata l'intera quantità di calore della pompa di calore in kWh.
qdhw;Qdhw;Viene visualizzata la quantità di calore per l'approntamento di acqua calda in kWh.
sw_vers_01;Numero Software CUI;Viene visualizzato il software e la versione dell'unità di comando.
sw_vers_02;Num Software Regolat;Viene visualizzato il numero di software e la versione della scheda di regolazione.
sw_vers_03;SW Nr. RTX RT;Viene visualizzato il numero di software e la versione della scheda modbus.
mode_01;Modo operativo;Parametro per l'impostazione della modalità di funzionamento del circuito di riscaldamento interno. Per l'impostazione "- - - -" per questo circuito di riscaldamento si utilizza l'interruttore rotante della regolazione. Con l'impostazione della modalità di funzionamento "Standby/OFF", e "Estate" dell'interruttore rotante della centralina, si ottiene la riduzione di potenza di tutti i circuiti di riscaldamento o di consumo di tutto l'impianto. 0: --- 1: Standby 2: Riduzione 3: Riscaldamento 4: Raffrescamento 5: Estate 11: Automatico 1 12: Automatico 2
tvbh2;TVBH2 [C];Temperatura di mandata attuale riscaldamento (tV,BH).
tliq2;Tliq2 [C];Temperatura corrente del refrigerante (tliq2).
tr2;TR2 [C];Temperatura di ritorno attuale riscaldamento, sensore secondario (tR2).
ta2;TA2 [C];Temperatura esterna attuale (misurata dalla sonda della pompa di calore esterna).
tdhw2;Tdhw2 [C];Temperatura dell'acqua calda attuale nel bollitore dell'acqua calda, sensore secondario (tDHW2).
quiet;Modalità silenziosa;Modalità per funzionamento silenzioso Esistono due modalità. In determinati casi, il funzionamento silenzioso si nota a causa della riduzione della potenza. 0: disattivato 1: attivato 2: Intervallo (funzionamento notturno fra le ore 22:00 e le ore 5:00 in modalità silenziosa)
mode;Mode;Modalita' attuale della pompa di calore: 0: not active 1: riscaldare 2: Raffreddare 3: Funzione scongelamento attiva (Defrost) 4: Produzione di acqua calda (ACS)
pump;Pump;Potenza attuale della pompa di circolazione per riscaldamento interna in %.
ext;Ext;Modalita' energetica attuale della pompa di calore:\nLT: Funzione EVU attiva e tariffa ridotta.\nHT: Funzione EVU attiva e tariffa normale.\nSGN: SMART GRID - Funzione attiva, funzionamento\nnormale.\nSG1: SMART GRID - Funzione attiva, lancio,\ncorrente piu' cara.\nSG2: SMART GRID - Funzione attiva, funzionamento\naumentato, corrente piu' conveniente.\nSG3: SMART GRID - Funzione attiva, comando di attivazione e funzionamento aumentato, corrente piu' conveniente. '- - -': Nessuna modalita' esterna attiva, la pompa di calore funziona in modo normale.
ehs;EHS;Potenza attuale del Backup-Heater (BUH) in kW.
rt;Room thermostat;Attivazione di un termostato ambientale. Attivando questa funzione, la temperatura nominale ambientale viene controllata solo tramite il termostato ambientale. 0: Disattivato 1: Attivato
bpv;BPV;Posizione attuale della valvola di miscelazione 3UVB1 (100 % = A, 0 % = B).
t_v1;TV;Temperatura di mandata corrente (tV1).
t_dhw1;Tdhw;Temperatura dell'acqua calda attuale nel bollitore dell'acqua calda (tDHW1).
t_vbh;TVBH;Temperatura di uscita dell'acqua bollitore dell'acqua calda (tV,BH).
t_outdoor_ot1;TA;Temperatura esterna attuale (misurata dalla sonda di temperatura opzionale RoCon OT1).
t_r1;TR;Temperatura di ritorno attuale riscaldamento (tR1).
v1;V;Flusso di volume attuale (portata) nell'impianto di riscaldamento.
t_room1_setpoint;T-Ambiente 1;Viene impostato il valore nominale della temperatura ambiente in °C con un valore decimale, che vale per il primo blocco di programma a orario del programma a orario Automatico 1 e Automatico 2. (testo dal manuale installatore) Questi parametri influenzano, oltre alla temperatura esterna, la curva calore e possibilmente la temperatura ambiente rilevata dal dispositivo di controllo EHS157034 (se presente e configurato), la temperatura di mandata desiderata per il circuito di riscaldamento. Se questi parametri vengono impostati erroneamente, questo può influenzare fortemente il funzionamento della pompa calore in modalità riscaldamento.
t_room2_setpoint;T-Ambiente 2;Viene impostato il valore nominale della temperatura ambiente in °C con un valore decimale, che vale per il primo blocco di programma a orario del programma a orario Automatico 1 e Automatico 2. (testo dal manuale installatore) Questi parametri influenzano, oltre alla temperatura esterna, la curva calore e possibilmente la temperatura ambiente rilevata dal dispositivo di controllo EHS157034 (se presente e configurato), la temperatura di mandata desiderata per il circuito di riscaldamento. Se questi parametri vengono impostati erroneamente, questo può influenzare fortemente il funzionamento della pompa calore in modalità riscaldamento.
t_room3_setpoint;T-Ambiente 3;Viene impostato il valore nominale della temperatura ambiente in °C con un valore decimale, che vale per il primo blocco di programma a orario del programma a orario Automatico 1 e Automatico 2. (testo dal manuale installatore) Questi parametri influenzano, oltre alla temperatura esterna, la curva calore e possibilmente la temperatura ambiente rilevata dal dispositivo di controllo EHS157034 (se presente e configurato), la temperatura di mandata desiderata per il circuito di riscaldamento. Se questi parametri vengono impostati erroneamente, questo può influenzare fortemente il funzionamento della pompa calore in modalità riscaldamento.
heat_slope;Curva riscaldamento;La curva di riscaldamento riproduce la dipendenza della temperatura nominale di mandata des circuito di riscaldamento dalla temperatura esterna.
t_dhw_setpoint1;T-Acc 1 nom; Viene impostato il valore nominale della temperatura dell'acqua calda in °C con un valore decimale, che vale per il primo blocco di programma a orario del programma a orario Automatico 1 e Automatico 2. (testo dal manuale installatore) Valore desiderato della temperatura dell'acqua calda. All'avvio non impostare al di sotto di 40°C. Dopo l'avvio non impostare mai al di sotto di 35°C!
t_dhw_setpoint2;T-Acc 2 nom;Viene impostato il valore nominale della temperatura dell'acqua calda in °C con un valore decimale, che vale per il secondo blocco di programma a orario del programma a orario Automatico 1 e Automatico 2.
t_dhw_setpoint3;T-Acc 3 nom;Viene impostato il valore nominale della temperatura dell'acqua calda in °C con un valore decimale, che vale per il terzo blocco di programma a orario del programma a orario Automatico 1 e Automatico 2.
hyst_hp;HP Isteresi TDHW;Soglia di attivazione caricamento acqua calda. Stabilisce a partire da quale differenza di temperatura si attiva la pompa di calore per il caricamento dell'acqua calda
t_flow_cooling;T-Imp refrig;Temperatura nominale di mandata di modalita' di raffreddamento in caso di regolazione in base ad una temperatura di mandata fissa
error;Errore;errorcode
outdoor_type;Outdoor type;Tipo di apparecchio esterno pompa di calore 0: nessuna selezione 1: 4 kW 2: 6 kW 3: 8 kW 4: 11 kW 5: 14 kW 6: 16 kW
indoor_unit;Indoor unit;Tipo apparecchio interno pompa di calore 0: Finora non si verifica alcuna messa in funzione. 1: 304 2: 308 3: 508 4: 516
func_heating;Function Heating Rod;Impostazione relativa all'eventuale presenza di generatore di calore aggiuntivo (WEZ) per l'approntamento di acqua calda e il sostegno al riscaldamento. 0: Nessun WEZ aggiuntivo 1: WEZ elettrico 2: WEZ alternativo per le funzioni approntamento di acqua calda e sostegno al riscaldamento 3: WEZ 1 alternativo per la funzione approntamento di acqua calda e WEZ 2 alternativo per la funzione sostegno al riscaldamento (testo manuale installatore) Durante l'utilizzo di un l’elemento riscaldante elettronico supportare la pompa di calore, impostare su 1.
hzu;HUZ;Sostegno al riscaldamento tramite il bollitore di acqua calda : 0: nessun sostegno al riscaldamento 1: sostegno al riscaldamento attivato
equi_func;Equilibrium Func;(o Bivalence Function) La temperatura bivalente è rilevante per il funzionamento del riscaldatore aggiuntivo opzionale a seguito di una richiesta di back-up [modalità di riscaldamento ambientale]. Quando la funzione è attivata, il back-up heater viene sbloccato solo se la temperatura bivalente (impostabile alla voce Configurazione) non è stata raggiunta. Disattivando la funzione "Temperatura bivalente", il funzionamento del back-up heater è sempre possibile. 0: Disattivato 1: attivato (testo nel manuale tecnico) Quando attivato, l'elemento riscaldante elettronico per il supporto del riscaldamento verrà attivato per la prima volta quando la temperatura è al di sotto dei valori impostati in„Temp. di bivalenza“.
smart_grid;SMART GRID;Attivazione della funzione Smart Grid Non appena viene attivata questa funzione, a seconda del segnale inviato dal fornitore di energia elettrica, la pompa di calore viene disattivata o azionata maggiormente. 0: Disattivato 1: attivato
modus_sg;Mode SG;Attivando il parametro "SMART GRID" (=1), tramite di esso si può regolare la riduzione di temperatura in modalità di risparmio (approntamento di acqua calda e riscaldamento) e l'aumento della temperatura di mandata con un comando di attivazione. 0: Comfort (aumento del valore nominale della temperatura dell'acqua calda di 5 K) 1: Standard (aumento del valore nominale della temperatura di mandata di 2 K e temperatura dell'acqua calda di 5 K) 2: Eco (aumento del valore nominale della temperatura di mandata di 5 K e temperatura dell'acqua calda di 10 K)
ht_nt_func;HT/NT Function;Questo parametro stabilisce quali sorgenti di calore vengono disattivate quando si riceve il segnale della tariffa ridotta dall'ente di approvvigionamento energetico (EVU). 0: Disattivato (nessun effetto) 1: Compressore disattivato 2: Il compressore e il riscaldamento di riserva viene disattivato 3: Tutto viene disattivato (nessuna funzione dell'apparecchio, stand-by)
ht_nt_contact;HT/NT Contact;Determinare se si tratti di un contatto di apertura o chiusura (NC or NO). 0: Valutazione di un contatto di chiusura 1: Valutazione di un contatto di apertura
room_therm;Room thermostat;Attivazione di un termostato ambientale. Attivando questa funzione, la temperatura nominale ambientale viene controllata solo tramite il termostato ambientale. 0: Disattivato 1: Attivato
