name;label;beschrijving
t_hs;T-WG;De actuele aanvoertemperatuur (TVBH) van de warmtegenerator wordt aangegeven in C.
t_hs_set;T-WG gewenst;De actuele aanvoerstreeftemperatuur van de warmtegenerator wordt aangegeven in C.
water_pressure;Waterdruk;De actuele waterdruk, weergegeven in bar.
t_ext;T-buiten;De actuele buitentemperatuur wordt getoond in C.
t_dhw;T-WW;Actuele temperatuur van het warmwaterreservoir, weergegeven in C. Als er geen warmwaterfunctie is geactiveerd, wordt ---
t_dhw_set;T-WW setpunt;De actuele warmwaterstreeftemperatuur, weergegeven in C. Als er geen warmwater- functie is geactiveerd, wordt "- - 2 weergegeven. De actuele voorgeschreven (aanvoer)temperatuur voor directe verwarmingskring wordt aangegeven in C.
t_return;T-retour;De actuele retourtemperatuur van de warmtegenerator wordt aangegeven in C. Als er geen overeenkomende sensor is aangesloten op de warmtegenerator, wordt ---
flow_rate;Volumestroom;De gefilterde waarde van het actuele debiet, weergegeven in liter per uur.
t_hc;T-CV kring;De aanvoertemperatuur van de directe verwarmingskring wordt aangegeven in C.
t_hc_set;T-CV setpunt;De aanvoerstreeftemperatuur van de directe verwarmingskring wordt aangegeven in C.
status_pump;status WP pomp;De huidige status van de interne verwarmingscirculatiepomp van de ROTEX HPSU compact wordt weergegeven.
runtime_comp;Arbeidstijd compressor;De looptijd van de koelmiddelcompressor, weergegeven in uren.
runtime_pump;Arbeidstijd pomp;De looptijd van de interne verwarmingscirculatiepomp, weergegeven in uren.
posmix;Stand mengkraan;Actuele positie van het 3-wegs-omschakelventiel 3UV DHW wordt weergegeven. 0%: Positie A (ruimteverwarming) 100%: Positie B (warmwaterbereiding).
qboh;Qboh;De warmtehoeveelheid van de extra warmtegenerator voor de warmwaterbereiding, weergegeven in kWh.
qchhp;Qchhp;De warmtehoeveelheid van de extra warmtegenerator voor de verwarming, weergegeven in kWh.
qsc;Qsc;De warmtehoeveelheid van de warmtepomp voor koeling, weergegeven in kWh.
qch;Qch;De warmtehoeveelheid van de warmtepomp voor de verwarming, weergegeven in kWh.
qwp;QWP;De totale warmtehoeveelheid van de warmtepomp, weergegeven in kWh.
